product,title,rating,body,sentiment
13th gen i9,"5.0 out of 5 stars
Great performance",5,Cool processor,1
13th gen i9,"3.0 out of 5 stars
It can be more efficient I guess",3,"It is working almost same as my 10 yr old DELL XPS laptop, swapped with a SATA SSD, and i7 second gen processor. I don't know whats improved. But it's doing its job I guess.. in my 2 weeks of usage I have seen it's temprature rised above 80°C once. Wasn't expecting that from current refined and powerful generations. I am using liquid cooling on top of this. And yet it hit 80°C. What I was doing when that happened was trying to open a game. And one thing that I missed was to disable the integrated graphics because I have dedicated GPU. It was just for a moment the CPU was used during the game launch and after it started using the GPU. But until that switch happened, under less than a minute of CPU usage, it reached to 80°c. I mean since these are premium products, there should be some protection layers blocking such usages, and close the programs instead rather than hitting its performance.But anyways, I disabled the integrated device and then it's all smooth. Everything normal except for that one instance explained above. Parallel processing is still shitty though with Windows OS. Same kind of processors on Mac before Apple silicon came in were working more efficiently. So I guess it's prob with windows OS, but not processors.",0
13th gen i9,"5.0 out of 5 stars
It's a beast nothing much to say",5,This processor is all-rounder for every tasks you do on PC from small to CPU intensive applications. If you are looking for vast performance with heavy production tasks this is very nice to have. Best to use with Motherboard DDR5 and PCI-E 5.0 supported motherboards.,1
13th gen i9,"5.0 out of 5 stars
Great product",5,Thanks 🙏,1
13th gen i9,"5.0 out of 5 stars
New Generation with Next Gen Power with 24 Cores and 32 Threads",5,"The Intel Core i9 13900K is an absolute powerhouse! Its blazing speeds and unrivaled performance have transformed my computing experience. Multitasking is a breeze, and demanding applications run seamlessly. The advanced technology and impressive efficiency make it a must-have for any tech enthusiast. Truly a 5-star gem!I recommend this CPU for 8K gaming and stream.",1
13th gen i9,"5.0 out of 5 stars
Nice processor",5,Nice processorGood performanceGood over clockingNice performanceTakes loadsGetting god fps in all games like gta5 etc,1
12th gen i7,"5.0 out of 5 stars
It was either used or displayed item.",5,We found the unit with dust on it. It was either used or displayed item. So far it works well. Hoping it will meet our expectations with its performance.,1
12th gen i9,"5.0 out of 5 stars
This processor is a beast 🔥",5,"I brought this processor for my gaming/workstation build .Combining this processor with nzxt 360 mm liquid cooling AIO , things went smoothly.It can handle literally all heavy tasks like 3d rendering , simulation , gaming , yet keeps temprature at 40c .Highly recommended for best gaming rigs .Note: 4th gen ssd is a plus for the build ... Otherwise there might be bottleneck with gen3 ssds while doing 3d rendering works .",1
12th gen i9,"5.0 out of 5 stars
Nothing can beat intel",5,Was using amd cpu untill now. Cpu died in 2 year only. Now back to intel. Dad of AMD .,1
12th gen i9,"1.0 out of 5 stars
Overpriced. Should be around 55-58 even with 18%GST.",1,Product is good Price is high wait for prices to go down dont buy overpriced products. It's gives seller more power over us.,0
13th gen i5,"5.0 out of 5 stars
Awesome product",5,Good condition and working properly,1
13th gen i7,"4.0 out of 5 stars
good",4,good,1
13th gen i7,"5.0 out of 5 stars
Nice",5,,1
13th gen i7,"5.0 out of 5 stars
Go for it..",5,This processor is absolutely incredible with no doubt’s… The only this you have to keep in mind that go for atleast 360 AIO for more better performance…,1
13th gen i7,"5.0 out of 5 stars
Best cpu at this price bracket",5,,1
13th gen i7,"5.0 out of 5 stars
Just bought it! and working great except the temperatures!!!",5,This is my best buy so far for gaming and editing. It runs great whatever you throw. Excellent performance so far. Cinebench score is 29000 at 125 TDP.Suggestion: Buy only if you have very good amount of cooler.,1
13th gen i7,"5.0 out of 5 stars
It's a beast for all kind of works",5,When compare to amd ryzen 7 7000 processors i5 14600k will easily beat in all aspects. But this will consume a lot of power and generate more heat. So we have to take atleast 700W with 80+ certified psu and a good liquid cooler. Any how As usually we can enjoy with this beast.,1
14th gen i9,"1.0 out of 5 stars
Worst! Gave me used and defective product.",1,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!",0
14th gen i9,"1.0 out of 5 stars
Worst quality",1,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generation,0
14th gen i9,"1.0 out of 5 stars
Waste of money",1,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.,1
14th gen i9,"5.0 out of 5 stars
i9 14th gen is the beast!",5,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.",1
14th gen i9,"2.0 out of 5 stars
It's just a overclocked i7 13700k",2,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money,0
14th gen i9,"5.0 out of 5 stars
Beast gaming 💪🐻",5,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it,1
12th gen i5,"5.0 out of 5 stars
Thanku",5,Thanku Appario you send me best cpu,1
12th gen i5,"5.0 out of 5 stars
Best Budget Cpu",5,Budget cpu for gamers and creators,1
12th gen i5,"5.0 out of 5 stars
A Balanced Powerhouse for Everyday Computing",5,It doesn't have integrated graphics,1
12th gen i5,"5.0 out of 5 stars
Best CPU for Budget Ballers.",5,"This processor is great mid to high range budget builds, if your looking for a cpu for around 10K INR, this is the perfect choice, it has 6 Cores and 12 Threads which is quite powerful. For me, pairing it with RX 6600 gave me around 120 FPS in almost all games while playing on High Graphics. About the stock cooler, the stock cooler can definitely keep the heat away, i experienced less than 60° while gaming, although u can go for a better cooler if u prefer that, but the stock cooler will do its job.Overall 9.5/10 product.",1
12th gen i5,"5.0 out of 5 stars
Got it under 10k",5,Try to get it under 10k and check the rankings in details sections before buying anything,1
12th gen i5,"5.0 out of 5 stars
Very Great Processor . . .",5,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .,1
12th gen i5,"5.0 out of 5 stars
Nice processor under 12k",5,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround,1
12th gen i5,"5.0 out of 5 stars
Highest Price to Performance processor for gaming.",5,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",1
12th gen i5,"1.0 out of 5 stars
Faulty product",1,"The media could not be loaded.
                



Fan is not working faulty device.Suggest not to buy this from hereNo support help me 😞Very disappointed",0
12th gen i5,"4.0 out of 5 stars
No discrete graphics in this processor",4,"This will not work without graphic card, So be careful before ordering.",1
14th gen i5,"5.0 out of 5 stars
It's a beast for all kind of works",5.0 out of 5 stars,When compare to amd ryzen 7 7000 processors i5 14600k will easily beat in all aspects. But this will consume a lot of power and generate more heat. So we have to take atleast 700W with 80+ certified psu and a good liquid cooler. Any how As usually we can enjoy with this beast.,1
14th gen i5,No Title,No Rating,"Funciona muy bien este procesador, estoy satisfecho",1
14th gen i5,No Title,No Rating,Installation was great! It was my first time building a PC and nothing went wrong!,1
14th gen i5,No Title,No Rating,The seller posted the item but there was a delay from the postal service so they got the item back and posted the item with express delivery instead. Excellent and professional seller!,1
14th gen i5,No Title,No Rating,"Works just fine.  Looking back you can get pretty similar performance on a 13th gen and save like $30, or go up to the I7 which gives you two more performance cores.  It is working great though and cooler than the 14 gen I7 and I9.",1
14th gen i3,No Title,No Rating,Paired with a discounted Z690 board for gaming. New build posted and I updated the bios for this chip. No issues. Will update for experience of how it does with my 4070Ti Super.,1
14th gen i3,No Title,No Rating,Paired with a 360 MSI AIO this 14700K never gets out of the 50’sC area. Most everyone(AMD fanboys) wants you to believe these run very hot and they don’t. Get a good cooler and you’ll be fine. Runs any game I throw at it just paired with a 4090.,1
14th gen i3,No Title,No Rating,"I bought this cpu to upgrade form the fx8350 I was running and I have to say paired with a rtx 2060 supper runs smooth at 4k 60fps with no problems what so ever, I would definitely recommend this cpu to anyone needing a upgrade form later gen cpus.",1
14th gen i3,No Title,No Rating,"Fast and working well,It runs a little hot in my ITX case but that's probably not the processors fault tbh",1
14th gen i3,No Title,No Rating,excelente producto 100% recomendado,1
